,N,P,K,temperature,humidity,ph,rainfall,label
1247,39,139,201,41.18664903,81.01783402,5.5399808120000005,68.68895899,grapes
160,79,45,20,23.80546189,59.24537979,5.715208817000001,89.96220140000001,maize
1488,99,29,55,29.19378695,91.46241065,6.660954816,26.48240255,muskmelon
1931,107,51,22,24.86560781,78.22080815,5.983075895,79.56866268,cotton
1572,10,136,204,21.19852186,92.15595143,6.276198595,105.8554351,apple
68,69,46,41,23.64124821,80.28597873,5.012139669,263.1103304,rice
1612,6,9,12,31.08368929,90.14362642,7.028746406000002,109.6894658,orange
484,22,62,16,34.6455408,54.32342534,4.828936119,180.9009998,pigeonpeas
196,67,35,22,23.30546753,63.24648023,6.385684213999999,108.7603001,maize
7,94,53,40,20.27774362,82.89408619,5.718627177999999,241.9741949,rice
